Query_Name,Database_ID,Target_ID,Target_Name,Gene_Name,UniProt_ID,Query_Percentage,Target_Percentage,Polypharmacology_Type,Ligand_Name,Organism,original_target_smile,query_frag_smile,Query_SMILES
mol_0,CHEMBL2337038,ChEMBL_T_2003,Bromodomain adjacent to zinc finger domain protein 2B,CHEMBL1741220,Q9UIF8,45.71,59.26,Type 4,CHEMBL2337038 : ,Homo sapiens,CCN1CCN(c2ccc([N+](=O)[O-])cc2NC(=O)c2ccccc2Cl)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL3605436,ChEMBL_T_2486,"Glutaminase kidney isoform, mitochondrial",CHEMBL2146302,O94925,77.14,75.0,Type 4,CHEMBL3605436 : ,Homo sapiens,COc1cc(-c2nnc(-c3ccc4c(c3)CO[C@@]4(CCCN(C)C)c3ccc(F)cc3)[nH]2)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL4556155,ChEMBL_T_2259,Gamma-secretase,CHEMBL2094135,P49810,54.29,63.33,Type 4,CHEMBL4556155 : ,Homo sapiens,CCN1CCN(C(c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)c2ccccn2)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL4522859,ChEMBL_T_2264,DNA topoisomerase II,CHEMBL2094255,Q02880,60.0,67.74,Type 4,CHEMBL4522859 : ,Saccharomyces cerevisiae,CCN1CCN(CCCNC(=S)Nc2ccc3nc(N(C)CCN)cc(C)c3c2)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL5169884,ChEMBL_T_2237,Menin/Histone-lysine N-methyltransferase MLL,CHEMBL2093861,Q03164,51.43,58.06,Type 4,CHEMBL5169884 : ,Saccharomyces cerevisiae,CCN1CCN(c2ncnc3[nH]c(-c4ccc(OCc5ccccc5)cc4)cc23)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL4291849,ChEMBL_T_2001,DNA dC->dU-editing enzyme APOBEC-3G,CHEMBL1741217,Q9HC16,57.14,62.5,Type 4,CHEMBL4291849 : ,Homo sapiens,CCN1CCN(CCNC2CCN(c3cccc(-c4cc5ccccc5[nH]4)c3)CC2)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL4066774,ChEMBL_T_2581,Potassium channel subfamily K member 3,CHEMBL2321613,O14649,71.43,73.53,Type 4,CHEMBL4066774 : ,Homo sapiens,CCN1CCN(C(=O)c2ccc([C@H]3CN(Cc4c(C)cccc4F)C[C@@H]3N(C)C)cc2C)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL215842,ChEMBL_T_2491,Werner syndrome ATP-dependent helicase,CHEMBL2146312,Q14191,65.71,67.65,Type 4,CHEMBL215842 : ,Homo sapiens,CCN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3ccccc3Cl)c3ccccc32)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL5205340,ChEMBL_T_2544,Histone-lysine N-methyltransferase EZH2,CHEMBL2189110,Q15910,60.0,60.0,Type 4,CHEMBL5205340 : ,Homo sapiens,CCN1CCN(c2ccc(-c3cc(=O)c4c(O)cc(O)c(Oc5c(C)n[nH]c5C)c4o3)cc2)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL3085831,ChEMBL_T_292,Tripeptidyl-peptidase 2,Unknown,Unknown,60.0,60.0,Type 4,CHEMBL3085831 : ,Mus musculus,CCN1CCN(C(C)(C)c2ccc(NC(=O)c3ncc(C#N)[nH]3)c(C3=CCC(C)(C)CC3)c2)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
